epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,275.404,1.97723,2.68517,2.29161,0.12618,0.28232,0.31936,0.20872,0.10428,1.71358,2.32518,2.0399,0.07937,0.000474043,0.000474043,0.000474043
2,542.561,1.63483,2.14985,1.85905,0.06648,0.29108,0.39525,0.25876,0.13813,1.58749,2.18859,1.88849,0.06756,0.000940968,0.000940968,0.000940968
3,814.988,1.56829,2.07481,1.77797,0.06425,0.33323,0.38822,0.28183,0.15242,1.53929,2.12485,1.83109,0.06793,0.00139846,0.00139846,0.00139846
4,1089.41,1.50083,1.9888,1.74037,0.06184,0.31363,0.41032,0.27964,0.15467,1.50261,2.13729,1.78707,0.06229,0.00138656,0.00138656,0.00138656
5,1361.15,1.47039,1.9513,1.71461,0.05777,0.37078,0.42621,0.32421,0.17925,1.47868,2.01569,1.77378,0.05976,0.00137241,0.00137241,0.00137241
6,1646.92,1.46853,1.90873,1.68494,0.05704,0.38836,0.41521,0.33024,0.18681,1.46662,1.94673,1.7452,0.06241,0.00135826,0.00135826,0.00135826
7,1931.25,1.42018,1.85599,1.67296,0.05439,0.38539,0.4332,0.33762,0.19522,1.4358,1.92858,1.74729,0.05745,0.00134412,0.00134412,0.00134412
8,2221.96,1.42423,1.84103,1.66082,0.05318,0.3794,0.43967,0.34316,0.19196,1.44373,2.0194,1.72999,0.0555,0.00132997,0.00132997,0.00132997
9,2517.25,1.38629,1.79105,1.63311,0.05326,0.38893,0.44428,0.3569,0.20278,1.41578,1.91819,1.7185,0.05829,0.00131582,0.00131582,0.00131582
10,2805.66,1.37892,1.78269,1.62979,0.05036,0.40841,0.43762,0.36046,0.21135,1.41039,1.86353,1.7189,0.05981,0.00130168,0.00130168,0.00130168
11,3147.26,1.36088,1.74448,1.62008,0.0506,0.43186,0.42674,0.37787,0.21922,1.41574,1.85268,1.69702,0.05501,0.00128753,0.00128753,0.00128753
12,3504.93,1.35682,1.74369,1.62138,0.05076,0.41082,0.46463,0.37654,0.22232,1.39248,1.97282,1.69175,0.0538,0.00127338,0.00127338,0.00127338
13,3844.62,1.34918,1.70913,1.60811,0.05047,0.42512,0.45826,0.39087,0.23165,1.37657,1.85706,1.6778,0.052,0.00125923,0.00125923,0.00125923
14,4185,1.32955,1.69595,1.59887,0.04905,0.43169,0.4533,0.39034,0.23438,1.37321,1.82388,1.66735,0.05471,0.00124509,0.00124509,0.00124509
15,4521.49,1.33002,1.68401,1.58862,0.04781,0.40848,0.48868,0.39927,0.2394,1.35862,1.79043,1.65916,0.05294,0.00123094,0.00123094,0.00123094
16,4857.34,1.31138,1.65411,1.57326,0.04594,0.46352,0.4559,0.40089,0.23726,1.36935,1.76825,1.67228,0.05523,0.00121679,0.00121679,0.00121679
17,5195.68,1.30434,1.62876,1.56815,0.04844,0.44211,0.48292,0.41834,0.2525,1.35181,1.76105,1.65904,0.05132,0.00120265,0.00120265,0.00120265
18,5533.05,1.28079,1.62313,1.56031,0.04619,0.45425,0.47884,0.4281,0.264,1.32383,1.71172,1.6369,0.05365,0.0011885,0.0011885,0.0011885
19,5869.31,1.2966,1.61062,1.56756,0.04717,0.41416,0.49086,0.41717,0.25523,1.3297,1.72407,1.64022,0.05333,0.00117435,0.00117435,0.00117435
20,6208.7,1.28429,1.59932,1.55895,0.04641,0.41428,0.47016,0.40381,0.24531,1.32682,1.85363,1.6328,0.05189,0.00116021,0.00116021,0.00116021
21,6542.6,1.26446,1.56638,1.54213,0.04711,0.50179,0.48033,0.46437,0.28779,1.30081,1.64034,1.61094,0.051,0.00114606,0.00114606,0.00114606
22,6879.55,1.25823,1.54038,1.53844,0.04488,0.47318,0.48611,0.45092,0.27771,1.30823,1.68336,1.60725,0.0525,0.00113191,0.00113191,0.00113191
23,7193.44,1.26009,1.54008,1.5272,0.04437,0.49012,0.47914,0.44322,0.27504,1.30693,1.66134,1.60106,0.05122,0.00111776,0.00111776,0.00111776
