epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,949.251,1.80525,2.66791,2.33816,0.10653,0.29098,0.34496,0.22288,0.11528,1.59271,2.34702,2.06551,0.07306,0.000474043,0.000474043,0.000474043
2,1954.88,1.54294,2.09057,1.88734,0.06394,0.33271,0.41754,0.29303,0.15789,1.50622,2.13775,1.94731,0.07182,0.000950144,0.000950144,0.000950144
3,3078.87,1.49074,2.01483,1.83041,0.06225,0.38502,0.3949,0.32654,0.18234,1.4726,2.00917,1.91011,0.0644,0.00142532,0.00142532,0.00142532
4,4196.51,1.43366,1.92322,1.7819,0.05934,0.3913,0.4119,0.32828,0.19138,1.43967,2.04421,1.85946,0.06299,0.00142586,0.00142586,0.00142586
5,5321.68,1.40555,1.89937,1.76089,0.05571,0.34674,0.44491,0.32169,0.18619,1.42236,2.00544,1.85155,0.05635,0.00142342,0.00142342,0.00142342
6,6451.27,1.38495,1.84647,1.72294,0.05224,0.38611,0.44468,0.35014,0.20187,1.39855,1.92261,1.80762,0.05679,0.00142029,0.00142029,0.00142029
7,7555.54,1.35918,1.79407,1.71316,0.05232,0.4047,0.47227,0.38399,0.22594,1.37072,1.84081,1.77802,0.05732,0.00141647,0.00141647,0.00141647
8,8652.2,1.34987,1.77038,1.69999,0.0515,0.39022,0.48416,0.38476,0.22489,1.36785,1.86135,1.78424,0.05685,0.00141196,0.00141196,0.00141196
9,9760.69,1.31002,1.70101,1.65757,0.0511,0.46066,0.43397,0.40482,0.24112,1.34941,1.82761,1.76652,0.05281,0.00140678,0.00140678,0.00140678
10,10859.9,1.30266,1.68996,1.66391,0.04794,0.41881,0.47719,0.40463,0.24809,1.31184,1.80277,1.74314,0.05275,0.00140091,0.00140091,0.00140091
11,11958.7,1.28523,1.66236,1.64472,0.0478,0.44921,0.48107,0.4315,0.26319,1.30995,1.72632,1.73558,0.05201,0.00139438,0.00139438,0.00139438
12,13060.1,1.28742,1.66987,1.65144,0.04778,0.50311,0.46038,0.4356,0.26359,1.33007,1.77526,1.75705,0.05367,0.00138718,0.00138718,0.00138718
13,14157.8,1.26929,1.61298,1.63307,0.04651,0.44005,0.50579,0.43839,0.27167,1.3073,1.70313,1.72067,0.05327,0.00137933,0.00137933,0.00137933
14,15253.2,1.24825,1.59345,1.62373,0.04573,0.50639,0.47677,0.46123,0.2764,1.31731,1.69232,1.74437,0.05001,0.00137082,0.00137082,0.00137082
15,16348.7,1.25894,1.58696,1.61692,0.04461,0.49356,0.48753,0.46511,0.29194,1.28783,1.63377,1.70813,0.05039,0.00136168,0.00136168,0.00136168
16,17447.5,1.22972,1.55865,1.60209,0.04313,0.45575,0.48526,0.45453,0.28268,1.28366,1.66869,1.71825,0.04984,0.0013519,0.0013519,0.0013519
17,18543.1,1.21952,1.52512,1.59119,0.0439,0.51649,0.48353,0.47175,0.29607,1.27745,1.62039,1.69388,0.0471,0.0013415,0.0013415,0.0013415
18,19641,1.20459,1.51249,1.58367,0.0423,0.49868,0.50082,0.48234,0.30902,1.24442,1.61966,1.67346,0.05012,0.0013305,0.0013305,0.0013305
19,20738.1,1.20903,1.48619,1.5853,0.04423,0.5494,0.47707,0.50117,0.31851,1.2444,1.55805,1.6658,0.04743,0.00131888,0.00131888,0.00131888
20,21836.7,1.20093,1.47294,1.57926,0.04311,0.54742,0.51188,0.52342,0.33588,1.20865,1.54138,1.62786,0.04486,0.00130668,0.00130668,0.00130668
21,22933.2,1.17375,1.43363,1.55239,0.04272,0.53393,0.52715,0.52648,0.33883,1.21949,1.53861,1.65738,0.04828,0.00129391,0.00129391,0.00129391
22,24030.7,1.17229,1.42162,1.55178,0.04041,0.5341,0.52193,0.53601,0.35246,1.20988,1.49172,1.64241,0.04773,0.00128057,0.00128057,0.00128057
23,25128.9,1.16242,1.39926,1.53362,0.04,0.55658,0.54079,0.53817,0.35146,1.20741,1.48667,1.62508,0.04612,0.00126667,0.00126667,0.00126667
24,26225.4,1.15288,1.37115,1.53033,0.03867,0.56732,0.52992,0.5531,0.36017,1.19466,1.4535,1.63,0.04309,0.00125224,0.00125224,0.00125224
25,27321.6,1.13905,1.34695,1.51766,0.03981,0.53224,0.53711,0.53147,0.35291,1.17803,1.47151,1.61941,0.04704,0.00123728,0.00123728,0.00123728
26,28416.6,1.12164,1.31711,1.50554,0.03792,0.54783,0.55275,0.54589,0.36062,1.18016,1.43518,1.60428,0.0459,0.00122182,0.00122182,0.00122182
